task_id,event_id,timestamp,event_type,name,model,input_tokens,output_tokens,direct_cost_usd,status,arguments
t-001,e-001,2026-07-01T10:00:00Z,model,route,edge-small,1000,200,,ok,"{}"
t-001,e-002,2026-07-01T10:00:01Z,tool,crm_lookup,0,0,0,0.002,ok,"{""customer_id"":""C-101""}"
t-001,e-003,2026-07-01T10:00:02Z,model,answer,frontier-large,8000,1200,,ok,"{}"
t-002,e-004,2026-07-01T10:01:00Z,model,route,edge-small,900,180,,ok,"{}"
t-002,e-005,2026-07-01T10:01:01Z,tool,search,0,0,0,0.005,ok,"{""query"":""refund policy""}"
t-002,e-006,2026-07-01T10:01:02Z,tool,crm_lookup,0,0,0,0.002,ok,"{""customer_id"":""C-102""}"
t-002,e-007,2026-07-01T10:01:03Z,model,answer,frontier-large,9000,1300,,ok,"{}"
t-003,e-008,2026-07-01T10:02:00Z,model,route,edge-small,1200,220,,ok,"{}"
t-003,e-009,2026-07-01T10:02:01Z,tool,search,0,0,0,0.005,ok,"{""query"":""warranty exception""}"
t-003,e-010,2026-07-01T10:02:02Z,model,answer,frontier-large,10000,1500,,ok,"{}"
t-003,e-011,2026-07-01T10:02:03Z,model,retry,frontier-large,5000,800,,error,"{}"
t-004,e-012,2026-07-01T10:03:00Z,model,route,edge-small,800,160,,ok,"{}"
t-004,e-013,2026-07-01T10:03:01Z,tool,crm_lookup,0,0,0,0.002,ok,"{""customer_id"":""C-104""}"
t-004,e-014,2026-07-01T10:03:02Z,model,answer,frontier-large,7000,1000,,ok,"{}"
t-005,e-015,2026-07-01T10:04:00Z,model,plan,edge-small,1500,300,,ok,"{}"
t-005,e-016,2026-07-01T10:04:01Z,tool,search,0,0,0,0.005,ok,"{""query"":""missing order""}"
t-005,e-017,2026-07-01T10:04:02Z,model,reflect,frontier-large,12000,1000,,ok,"{}"
t-005,e-018,2026-07-01T10:04:03Z,tool,search,0,0,0,0.005,ok,"{""query"":""order not found""}"
t-005,e-019,2026-07-01T10:04:04Z,model,reflect,frontier-large,12000,1000,,ok,"{}"
t-005,e-020,2026-07-01T10:04:05Z,tool,search,0,0,0,0.005,ok,"{""query"":""missing transaction""}"
t-005,e-021,2026-07-01T10:04:06Z,model,reflect,frontier-large,12000,1000,,ok,"{}"
t-005,e-022,2026-07-01T10:04:07Z,tool,search,0,0,0,0.005,ok,"{""query"":""unmatched receipt""}"
t-005,e-023,2026-07-01T10:04:08Z,model,reflect,frontier-large,12000,1000,,ok,"{}"
t-005,e-024,2026-07-01T10:04:09Z,tool,search,0,0,0,0.005,ok,"{""query"":""customer order absent""}"
t-005,e-025,2026-07-01T10:04:10Z,model,reflect,frontier-large,12000,1000,,ok,"{}"
t-005,e-026,2026-07-01T10:04:11Z,model,final,frontier-large,6000,500,,error,"{}"
t-006,e-027,2026-07-01T10:05:00Z,model,route,edge-small,1000,200,,ok,"{}"
t-006,e-028,2026-07-01T10:05:01Z,tool,search,0,0,0,0.005,ok,"{""query"":""shipping window""}"
t-006,e-029,2026-07-01T10:05:02Z,model,answer,frontier-large,7500,1100,,ok,"{}"
t-007,e-030,2026-07-01T10:06:00Z,model,route,edge-small,1100,220,,ok,"{}"
t-007,e-031,2026-07-01T10:06:01Z,tool,search,0,0,0,0.005,ok,"{""query"":""exchange policy""}"
t-007,e-032,2026-07-01T10:06:02Z,tool,crm_lookup,0,0,0,0.002,ok,"{""customer_id"":""C-107""}"
t-007,e-033,2026-07-01T10:06:03Z,model,answer,frontier-large,8500,1250,,ok,"{}"
t-008,e-034,2026-07-01T10:07:00Z,model,route,edge-small,700,140,,ok,"{}"
t-008,e-035,2026-07-01T10:07:01Z,tool,crm_lookup,0,0,0,0.002,ok,"{""customer_id"":""C-108""}"
t-008,e-036,2026-07-01T10:07:02Z,model,answer,frontier-large,6000,900,,ok,"{}"
