scenario_id,disabled_coverage_dimension,disabled_check_id,full_evidence_digest,fixed_contract_evidence_digest,dynamic_coverage_evidence_digest,full_contract_digest,fixed_contract_digest,dynamic_coverage_contract_digest,full_decision,dynamic_coverage_decision,fixed_contract_decision,false_scale_transition,fixed_contract_refused,acceptable_rate,cost_per_acceptable_usd,p95_task_cost_usd,incremental_value_usd
a5-t0.1-h0-l0-bc0-ba0.7-ah0-v5,outcome_quality,gate.acceptable-rate,22aa6ededbd8239b20a9321a7a1fbb461af66f0e983318028f93660e2ecc27e4,22aa6ededbd8239b20a9321a7a1fbb461af66f0e983318028f93660e2ecc27e4,22aa6ededbd8239b20a9321a7a1fbb461af66f0e983318028f93660e2ecc27e4,dc7704f81861ba246016e78f077fd5b38238be846a9e95db7a13118a655d5983,82817f13618571b86941ef1cc8f35866c87a2d080ab5682ea07e8e02a41cb54f,5cdbf57eab0939e1cf7b2045d463ffc37585e87adefb6b96f0c0b4106135b940,STOP,STOP,INCOMPLETE,false,false,0.500,0.2000,0.1000,-1.1000
a5-t0.1-h0-l0-bc0-ba0.7-ah0-v5,unit_economics,gate.unit-economics,22aa6ededbd8239b20a9321a7a1fbb461af66f0e983318028f93660e2ecc27e4,22aa6ededbd8239b20a9321a7a1fbb461af66f0e983318028f93660e2ecc27e4,22aa6ededbd8239b20a9321a7a1fbb461af66f0e983318028f93660e2ecc27e4,dc7704f81861ba246016e78f077fd5b38238be846a9e95db7a13118a655d5983,51f7f0a80bf81ec970ceea18e12129c1f8817eabe83f1821df8f8f2f99f42670,765d47d968d2ca9cb9b135cc4eed212a3bc43e07cab1060a360fb39e333fa195,STOP,STOP,INCOMPLETE,false,false,0.500,0.2000,0.1000,-1.1000
a5-t0.1-h0-l0-bc0-ba0.7-ah0-v5,tail_risk,gate.tail-cost,22aa6ededbd8239b20a9321a7a1fbb461af66f0e983318028f93660e2ecc27e4,22aa6ededbd8239b20a9321a7a1fbb461af66f0e983318028f93660e2ecc27e4,22aa6ededbd8239b20a9321a7a1fbb461af66f0e983318028f93660e2ecc27e4,dc7704f81861ba246016e78f077fd5b38238be846a9e95db7a13118a655d5983,645e12d88338a40425ea02c05b69a6455f11150389f10bf1303b50768b202aa2,af1d31de2a3a0f643d734d7f29d57e750149def88939262671a6eb445feed108,STOP,STOP,INCOMPLETE,false,false,0.500,0.2000,0.1000,-1.1000
a5-t0.1-h0-l0-bc0-ba0.7-ah0-v5,business_value,gate.net-value,22aa6ededbd8239b20a9321a7a1fbb461af66f0e983318028f93660e2ecc27e4,22aa6ededbd8239b20a9321a7a1fbb461af66f0e983318028f93660e2ecc27e4,22aa6ededbd8239b20a9321a7a1fbb461af66f0e983318028f93660e2ecc27e4,dc7704f81861ba246016e78f077fd5b38238be846a9e95db7a13118a655d5983,20cfa904c99fa09d6aa6d8a2c020e2dc9af1c0395700ee10ef96ab4889011371,7244d0346ed5ea2b670f121756ce936d31c27e2ad60490032548a33e30873872,STOP,STOP,INCOMPLETE,false,false,0.500,0.2000,0.1000,-1.1000
a5-t0.1-h0-l0-bc0-ba0.7-ah0-v5,counterfactual,gate.counterfactual,22aa6ededbd8239b20a9321a7a1fbb461af66f0e983318028f93660e2ecc27e4,22aa6ededbd8239b20a9321a7a1fbb461af66f0e983318028f93660e2ecc27e4,22aa6ededbd8239b20a9321a7a1fbb461af66f0e983318028f93660e2ecc27e4,dc7704f81861ba246016e78f077fd5b38238be846a9e95db7a13118a655d5983,0ca0fc410c3ebaca8f11e838b1f3446b4fcf5672eeca6b12b4fd20d5d05afa6b,de0d537eb5d57abdad9f90cec064a1e3690e97dd199672c877690defd93bbee7,STOP,ASSIST,INCOMPLETE,false,false,0.500,0.2000,0.1000,-1.1000
a5-t0.1-h0-l0-bc0-ba0.7-ah0-v5,runtime_caps,gate.runtime-caps,22aa6ededbd8239b20a9321a7a1fbb461af66f0e983318028f93660e2ecc27e4,22aa6ededbd8239b20a9321a7a1fbb461af66f0e983318028f93660e2ecc27e4,22aa6ededbd8239b20a9321a7a1fbb461af66f0e983318028f93660e2ecc27e4,dc7704f81861ba246016e78f077fd5b38238be846a9e95db7a13118a655d5983,ceefcd17a15238941b5a66a1b41b7383780d35876adf1c10f223f22b5dc93470,52cb7431084b961e362d80727adc17e1f6462899f90291c087d2a3d256983122,STOP,STOP,INCOMPLETE,false,false,0.500,0.2000,0.1000,-1.1000
a5-t0.1-h0-l0-bc0-ba0.95-ah0-v5,outcome_quality,gate.acceptable-rate,a16eb88f872510beb840ccf9e6f10d7958bd194c3295c9209dac18cf132d5ca5,a16eb88f872510beb840ccf9e6f10d7958bd194c3295c9209dac18cf132d5ca5,a16eb88f872510beb840ccf9e6f10d7958bd194c3295c9209dac18cf132d5ca5,dc7704f81861ba246016e78f077fd5b38238be846a9e95db7a13118a655d5983,82817f13618571b86941ef1cc8f35866c87a2d080ab5682ea07e8e02a41cb54f,5cdbf57eab0939e1cf7b2045d463ffc37585e87adefb6b96f0c0b4106135b940,STOP,STOP,INCOMPLETE,false,false,0.500,0.2000,0.1000,-2.3500
a5-t0.1-h0-l0-bc0-ba0.95-ah0-v5,unit_economics,gate.unit-economics,a16eb88f872510beb840ccf9e6f10d7958bd194c3295c9209dac18cf132d5ca5,a16eb88f872510beb840ccf9e6f10d7958bd194c3295c9209dac18cf132d5ca5,a16eb88f872510beb840ccf9e6f10d7958bd194c3295c9209dac18cf132d5ca5,dc7704f81861ba246016e78f077fd5b38238be846a9e95db7a13118a655d5983,51f7f0a80bf81ec970ceea18e12129c1f8817eabe83f1821df8f8f2f99f42670,765d47d968d2ca9cb9b135cc4eed212a3bc43e07cab1060a360fb39e333fa195,STOP,STOP,INCOMPLETE,false,false,0.500,0.2000,0.1000,-2.3500
a5-t0.1-h0-l0-bc0-ba0.95-ah0-v5,tail_risk,gate.tail-cost,a16eb88f872510beb840ccf9e6f10d7958bd194c3295c9209dac18cf132d5ca5,a16eb88f872510beb840ccf9e6f10d7958bd194c3295c9209dac18cf132d5ca5,a16eb88f872510beb840ccf9e6f10d7958bd194c3295c9209dac18cf132d5ca5,dc7704f81861ba246016e78f077fd5b38238be846a9e95db7a13118a655d5983,645e12d88338a40425ea02c05b69a6455f11150389f10bf1303b50768b202aa2,af1d31de2a3a0f643d734d7f29d57e750149def88939262671a6eb445feed108,STOP,STOP,INCOMPLETE,false,false,0.500,0.2000,0.1000,-2.3500
a5-t0.1-h0-l0-bc0-ba0.95-ah0-v5,business_value,gate.net-value,a16eb88f872510beb840ccf9e6f10d7958bd194c3295c9209dac18cf132d5ca5,a16eb88f872510beb840ccf9e6f10d7958bd194c3295c9209dac18cf132d5ca5,a16eb88f872510beb840ccf9e6f10d7958bd194c3295c9209dac18cf132d5ca5,dc7704f81861ba246016e78f077fd5b38238be846a9e95db7a13118a655d5983,20cfa904c99fa09d6aa6d8a2c020e2dc9af1c0395700ee10ef96ab4889011371,7244d0346ed5ea2b670f121756ce936d31c27e2ad60490032548a33e30873872,STOP,STOP,INCOMPLETE,false,false,0.500,0.2000,0.1000,-2.3500
